@relation TRAIN_DATABASE

@attribute verbs_present_tense numeric

@attribute verbs_past_tense numeric

@attribute classes {news,literature,sciences}

@data


79,65,news
56,44,news
51,65,news
103,60,news
81,57,news
91,39,news
115,21,news
52,68,news
97,63,news
28,45,news
67,63,news
43,71,news
51,57,news
72,32,news
93,23,news
39,97,news
36,98,news
53,63,news
40,63,news
38,89,news
39,78,news
69,49,news
67,56,news
99,21,news
91,44,news
79,18,news
60,72,news
141,12,news
81,35,news
41,71,news
92,45,news
36,76,news
30,79,news
123,19,news
121,11,news
97,33,news
66,71,news
102,28,news
115,24,news
103,26,news
116,17,news
127,68,news
87,64,news
141,41,news
64,32,news
84,38,news
134,24,news
123,29,news
129,20,news
96,19,news
110,28,news
111,14,news
141,24,news
108,40,news
79,37,news
74,36,news
94,48,news
106,31,news
92,55,news
110,41,news
105,21,news
86,60,news
81,65,news
93,32,news
88,33,news
84,49,news
82,32,news
110,24,news
94,33,news
99,3,news
124,29,news
49,129,literature
53,142,literature
36,176,literature
28,92,literature
48,105,literature
92,82,literature
39,121,literature
43,111,literature
40,106,literature
66,128,literature
63,94,literature
62,111,literature
75,83,literature
82,135,literature
83,139,literature
44,86,literature
41,87,literature
72,142,literature
33,105,literature
60,157,literature
41,84,literature
32,112,literature
88,101,literature
77,120,literature
84,93,literature
36,126,literature
79,82,literature
45,118,literature
63,92,literature
76,154,literature
62,101,literature
73,103,literature
70,134,literature
62,110,literature
48,74,literature
79,158,literature
88,97,literature
45,92,literature
107,71,literature
62,121,literature
85,106,literature
73,110,literature
68,110,literature
92,118,literature
92,91,literature
47,84,literature
40,102,literature
92,87,literature
51,124,literature
65,138,literature
88,112,literature
89,117,literature
44,128,literature
94,86,literature
81,104,literature
67,108,literature
80,126,literature
42,66,literature
80,124,literature
69,137,literature
75,96,literature
94,138,literature
90,126,literature
53,151,literature
67,107,literature
59,134,literature
56,112,literature
87,120,literature
41,139,literature
45,124,literature
67,77,literature
86,30,sciences
42,69,sciences
134,39,sciences
83,54,sciences
124,19,sciences
31,75,sciences
97,13,sciences
107,36,sciences
120,9,sciences
105,19,sciences
90,30,sciences
51,31,sciences
105,16,sciences
6,114,sciences
57,13,sciences
176,1,sciences
109,6,sciences
109,4,sciences
94,2,sciences
81,17,sciences
55,57,sciences
65,84,sciences
68,61,sciences
89,56,sciences
117,15,sciences
201,28,sciences
142,8,sciences
102,19,sciences
48,77,sciences
114,17,sciences
112,13,sciences
71,6,sciences
112,2,sciences
36,104,sciences
65,40,sciences
71,24,sciences
45,101,sciences
101,24,sciences
117,15,sciences
99,10,sciences
112,12,sciences
93,14,sciences
117,13,sciences
157,79,sciences
76,56,sciences
39,74,sciences
63,58,sciences
107,28,sciences
64,84,sciences
72,50,sciences
108,43,sciences
73,13,sciences
119,32,sciences
25,72,sciences
141,10,sciences
81,30,sciences
105,33,sciences
95,5,sciences
114,10,sciences
110,20,sciences
111,14,sciences
97,8,sciences
125,10,sciences
141,2,sciences
