@relation TRAIN_DATABASE

@attribute verbs_past_tense numeric

@attribute classes {news,literature,sciences}

@data


65,news
44,news
65,news
60,news
57,news
39,news
21,news
68,news
63,news
45,news
63,news
71,news
57,news
32,news
23,news
97,news
98,news
63,news
63,news
89,news
78,news
49,news
56,news
21,news
44,news
18,news
72,news
12,news
35,news
71,news
45,news
76,news
79,news
19,news
11,news
33,news
71,news
28,news
24,news
26,news
17,news
68,news
64,news
41,news
32,news
38,news
24,news
29,news
20,news
19,news
28,news
14,news
24,news
40,news
37,news
36,news
48,news
31,news
55,news
41,news
21,news
60,news
65,news
32,news
33,news
49,news
32,news
24,news
33,news
3,news
29,news
129,literature
142,literature
176,literature
92,literature
105,literature
82,literature
121,literature
111,literature
106,literature
128,literature
94,literature
111,literature
83,literature
135,literature
139,literature
86,literature
87,literature
142,literature
105,literature
157,literature
84,literature
112,literature
101,literature
120,literature
93,literature
126,literature
82,literature
118,literature
92,literature
154,literature
101,literature
103,literature
134,literature
110,literature
74,literature
158,literature
97,literature
92,literature
71,literature
121,literature
106,literature
110,literature
110,literature
118,literature
91,literature
84,literature
102,literature
87,literature
124,literature
138,literature
112,literature
117,literature
128,literature
86,literature
104,literature
108,literature
126,literature
66,literature
124,literature
137,literature
96,literature
138,literature
126,literature
151,literature
107,literature
134,literature
112,literature
120,literature
139,literature
124,literature
77,literature
30,sciences
69,sciences
39,sciences
54,sciences
19,sciences
75,sciences
13,sciences
36,sciences
9,sciences
19,sciences
30,sciences
31,sciences
16,sciences
114,sciences
13,sciences
1,sciences
6,sciences
4,sciences
2,sciences
17,sciences
57,sciences
84,sciences
61,sciences
56,sciences
15,sciences
28,sciences
8,sciences
19,sciences
77,sciences
17,sciences
13,sciences
6,sciences
2,sciences
104,sciences
40,sciences
24,sciences
101,sciences
24,sciences
15,sciences
10,sciences
12,sciences
14,sciences
13,sciences
79,sciences
56,sciences
74,sciences
58,sciences
28,sciences
84,sciences
50,sciences
43,sciences
13,sciences
32,sciences
72,sciences
10,sciences
30,sciences
33,sciences
5,sciences
10,sciences
20,sciences
14,sciences
8,sciences
10,sciences
2,sciences
