@relation TRAIN_DATABASE

@attribute verbs_present_tense numeric

@attribute classes {news,literature,sciences}

@data


79,news
56,news
51,news
103,news
81,news
91,news
115,news
52,news
97,news
28,news
67,news
43,news
51,news
72,news
93,news
39,news
36,news
53,news
40,news
38,news
39,news
69,news
67,news
99,news
91,news
79,news
60,news
141,news
81,news
41,news
92,news
36,news
30,news
123,news
121,news
97,news
66,news
102,news
115,news
103,news
116,news
127,news
87,news
141,news
64,news
84,news
134,news
123,news
129,news
96,news
110,news
111,news
141,news
108,news
79,news
74,news
94,news
106,news
92,news
110,news
105,news
86,news
81,news
93,news
88,news
84,news
82,news
110,news
94,news
99,news
124,news
49,literature
53,literature
36,literature
28,literature
48,literature
92,literature
39,literature
43,literature
40,literature
66,literature
63,literature
62,literature
75,literature
82,literature
83,literature
44,literature
41,literature
72,literature
33,literature
60,literature
41,literature
32,literature
88,literature
77,literature
84,literature
36,literature
79,literature
45,literature
63,literature
76,literature
62,literature
73,literature
70,literature
62,literature
48,literature
79,literature
88,literature
45,literature
107,literature
62,literature
85,literature
73,literature
68,literature
92,literature
92,literature
47,literature
40,literature
92,literature
51,literature
65,literature
88,literature
89,literature
44,literature
94,literature
81,literature
67,literature
80,literature
42,literature
80,literature
69,literature
75,literature
94,literature
90,literature
53,literature
67,literature
59,literature
56,literature
87,literature
41,literature
45,literature
67,literature
86,sciences
42,sciences
134,sciences
83,sciences
124,sciences
31,sciences
97,sciences
107,sciences
120,sciences
105,sciences
90,sciences
51,sciences
105,sciences
6,sciences
57,sciences
176,sciences
109,sciences
109,sciences
94,sciences
81,sciences
55,sciences
65,sciences
68,sciences
89,sciences
117,sciences
201,sciences
142,sciences
102,sciences
48,sciences
114,sciences
112,sciences
71,sciences
112,sciences
36,sciences
65,sciences
71,sciences
45,sciences
101,sciences
117,sciences
99,sciences
112,sciences
93,sciences
117,sciences
157,sciences
76,sciences
39,sciences
63,sciences
107,sciences
64,sciences
72,sciences
108,sciences
73,sciences
119,sciences
25,sciences
141,sciences
81,sciences
105,sciences
95,sciences
114,sciences
110,sciences
111,sciences
97,sciences
125,sciences
141,sciences
